집단,질환,알고리즘,구분,AUC,F1,Precision,Recall,Baseline_대비_AUC향상
청년_남성,당뇨,LR,Baseline,0.6645,0.8841,0.9544,0.8296,-
청년_남성,당뇨,RF,비교,0.76,0.9582,0.9464,0.9704,0.0955
청년_남성,당뇨,LGBM,비교,0.7439,0.9469,0.9567,0.9383,0.0794
청년_남성,당뇨,XGB,최적,0.765,0.9483,0.9537,0.9432,0.1005
청년_남성,당뇨,MLP,비교,0.5083,0.8725,0.9445,0.8123,-0.1562
청년_남성,고혈압,LR,Baseline,0.6904,0.7479,0.9036,0.6617,-
청년_남성,고혈압,RF,최적,0.8246,0.8529,0.9162,0.8123,0.1342
청년_남성,고혈압,LGBM,비교,0.7987,0.9266,0.9234,0.9309,0.1083
청년_남성,고혈압,XGB,비교,0.7972,0.8885,0.9025,0.8765,0.1068
청년_남성,고혈압,MLP,비교,0.5801,0.8944,0.8925,0.8963,-0.1103
청년_여성,당뇨,LR,Baseline,0.6106,0.9126,0.9751,0.8604,-
청년_여성,당뇨,RF,최적,0.8898,0.9573,0.9812,0.9384,0.2792
청년_여성,당뇨,LGBM,비교,0.8309,0.9673,0.9774,0.9585,0.2203
청년_여성,당뇨,XGB,비교,0.8141,0.9799,0.9799,0.9799,0.2035
청년_여성,당뇨,MLP,비교,0.7399,0.9742,0.9747,0.9736,0.1293
청년_여성,고혈압,LR,Baseline,0.6411,0.835,0.9792,0.7333,-
청년_여성,고혈압,RF,최적,0.8359,0.9812,0.975,0.9874,0.1948
청년_여성,고혈압,LGBM,비교,0.7736,0.9805,0.975,0.9862,0.1325
청년_여성,고혈압,XGB,비교,0.8148,0.9857,0.9858,0.9887,0.1737
청년_여성,고혈압,MLP,비교,0.545,0.9812,0.975,0.9874,-0.0961
중장년_남성,당뇨,LR,Baseline,0.7527,0.6867,0.7497,0.6675,-
중장년_남성,당뇨,RF,비교,0.7759,0.7467,0.7423,0.7592,0.0232
중장년_남성,당뇨,LGBM,최적,0.7818,0.7558,0.7891,0.7435,0.0291
중장년_남성,당뇨,XGB,비교,0.7805,0.7575,0.7857,0.7461,0.0278
중장년_남성,당뇨,MLP,비교,0.5933,0.3285,0.6063,0.3534,-0.1594
중장년_남성,고혈압,LR,Baseline,0.6974,0.6613,0.6852,0.6518,-
중장년_남성,고혈압,RF,비교,0.7589,0.6847,0.713,0.6754,0.0615
중장년_남성,고혈압,LGBM,비교,0.7592,0.7277,0.7277,0.7277,0.0618
중장년_남성,고혈압,XGB,최적,0.7761,0.7271,0.7248,0.733,0.0787
중장년_남성,고혈압,MLP,비교,0.6014,0.4983,0.6292,0.4974,-0.096
중장년_여성,당뇨,LR,Baseline,0.8271,0.7983,0.8853,0.7551,-
중장년_여성,당뇨,RF,비교,0.8333,0.8647,0.8623,0.8947,0.0062
중장년_여성,당뇨,LGBM,최적,0.8334,0.8568,0.8854,0.8388,0.0063
중장년_여성,당뇨,XGB,비교,0.8288,0.862,0.886,0.8464,0.0017
중장년_여성,당뇨,MLP,비교,0.7132,0.7243,0.8689,0.6586,-0.1139
중장년_여성,고혈압,LR,Baseline,0.6644,0.7329,0.8014,0.6942,-
중장년_여성,고혈압,RF,비교,0.7298,0.7922,0.8089,0.7792,0.0654
중장년_여성,고혈압,LGBM,최적,0.7436,0.7741,0.8263,0.7449,0.0792
중장년_여성,고혈압,XGB,비교,0.7404,0.7702,0.825,0.7398,0.076
중장년_여성,고혈압,MLP,비교,0.6001,0.7946,0.7837,0.8084,-0.0643
고령_남성,당뇨,LR,Baseline,0.5935,0.5676,0.5774,0.5669,-
고령_남성,당뇨,RF,최적,0.6382,0.6104,0.6132,0.6093,0.0447
고령_남성,당뇨,LGBM,비교,0.6273,0.6168,0.6209,0.6157,0.0338
고령_남성,당뇨,XGB,비교,0.6341,0.6229,0.6245,0.6221,0.0406
고령_남성,당뇨,MLP,비교,0.5609,0.5498,0.5633,0.5499,-0.0326
고령_남성,고혈압,LR,Baseline,0.62,0.6134,0.6241,0.6072,-
고령_남성,고혈압,RF,비교,0.6811,0.658,0.6545,0.6667,0.0611
고령_남성,고혈압,LGBM,최적,0.6863,0.6561,0.6561,0.6561,0.0663
고령_남성,고혈압,XGB,비교,0.6843,0.6438,0.6443,0.6433,0.0643
고령_남성,고혈압,MLP,비교,0.5802,0.5361,0.6772,0.6582,-0.0398
고령_여성,당뇨,LR,Baseline,0.7306,0.6712,0.6745,0.67,-
고령_여성,당뇨,RF,비교,0.7434,0.6873,0.6884,0.6866,0.0128
고령_여성,당뇨,LGBM,비교,0.7482,0.6798,0.6855,0.6783,0.0176
고령_여성,당뇨,XGB,최적,0.7542,0.6831,0.6894,0.6816,0.0236
고령_여성,당뇨,MLP,비교,0.6064,0.5316,0.6136,0.5506,-0.1242
고령_여성,고혈압,LR,Baseline,0.7266,0.6791,0.6892,0.675,-
고령_여성,고혈압,RF,최적,0.7794,0.7336,0.7378,0.7313,0.0528
고령_여성,고혈압,LGBM,비교,0.7694,0.7333,0.7443,0.7297,0.0428
고령_여성,고혈압,XGB,비교,0.7745,0.735,0.7384,0.733,0.0479
고령_여성,고혈압,MLP,비교,0.6036,0.5382,0.6503,0.6418,-0.123
